HomeRegion,AcademicYear,Sex,TCAS,GPAX,NumAnwser,Status
North East,0,1,1,2.95,16,MFU student
Bangkok,0,0,1,3.08,22,MFU student
Central,0,0,1,3,13,MFU student
East,0,0,1,3.31,21,MFU student
South,0,1,1,3.72,21,MFU student
North,0,1,2,3.11,24,MFU student
Central,0,1,1,3.1,15,MFU student
Central,0,0,1,3.66,22,MFU student
North,0,0,1,3.21,9,MFU student
Central,0,0,1,3.33,18,MFU student
South,0,0,1,3.6,23,MFU student
North,0,0,1,3.24,11,MFU student
Central,0,0,1,3.2,14,MFU student
South,0,0,1,3.58,13,MFU student
Bangkok,0,0,1,2.58,23,MFU student
North,0,0,1,3.77,24,MFU student
North,0,0,1,3.4,20,MFU student
South,0,0,1,3.42,13,MFU student
North,0,0,1,2.71,28,MFU student
Central,0,0,1,3.01,17,MFU student
Central,0,0,1,3.67,18,MFU student
Bangkok,0,0,1,2.91,16,MFU student
East,0,0,1,3.55,15,MFU student
North,0,1,2,2.78,25,MFU student
South,0,1,1,3.36,14,MFU student
North,0,1,1,3.09,11,MFU student
North,0,0,1,2.69,16,MFU student
North,0,0,2,2.51,20,MFU student
South,0,0,1,2.92,14,MFU student
North,0,0,2,3.43,8,MFU student
North,0,1,1,2.93,16,MFU student
East,0,1,1,3.23,15,MFU student
South,0,0,1,3.77,22,MFU student
West,0,0,1,3.39,24,MFU student
Central,0,0,1,2.95,10,MFU student
North,0,0,1,3.56,16,MFU student
Central,0,0,1,3.47,16,MFU student
Bangkok,0,0,1,3.06,13,MFU student
North East,0,0,1,3.52,24,MFU student
North,0,0,1,3.37,21,MFU student
North,0,0,1,3.41,10,MFU student
North,0,0,1,3.43,12,MFU student
South,0,0,1,3.28,14,MFU student
East,0,0,1,2.97,23,MFU student
North,0,0,1,3.47,18,MFU student
North,0,0,1,3.73,16,MFU student
Bangkok,0,0,1,3.51,20,MFU student
East,0,1,1,2.77,15,MFU student
South,0,0,1,2.69,19,MFU student
North,0,0,2,2.7,21,MFU student
East,0,0,1,3.08,30,MFU student
Central,0,0,1,3.35,12,MFU student
North,0,0,1,2.71,16,MFU student
Central,0,0,1,3.51,22,MFU student
North,0,0,1,3.57,21,MFU student
North,0,0,2,3.69,17,MFU student
North,0,1,2,3.01,27,MFU student
North,0,0,2,3.15,29,MFU student
Bangkok,0,0,1,3.39,18,MFU student
North,0,1,2,3.78,14,MFU student
North,0,0,1,2.93,19,MFU student
South,0,0,1,3.6,19,MFU student
North,0,0,1,3.39,10,MFU student
Bangkok,0,0,1,3.21,13,MFU student
East,0,0,1,3.33,23,MFU student
South,0,0,1,3.15,22,MFU student
North,0,0,1,2.67,8,MFU student
North,0,0,1,3.1,24,MFU student
South,0,0,1,2.92,15,MFU student
North East,0,1,1,2.65,14,MFU student
North,0,0,1,2.79,22,MFU student
North,0,0,2,3.6,11,MFU student
North,0,1,1,3.7,8,MFU student
South,0,0,1,3.32,17,MFU student
Bangkok,0,0,1,3.96,12,MFU student
Central,0,0,1,3.89,16,MFU student
North East,0,0,1,3.53,15,MFU student
South,0,0,1,3.23,17,MFU student
North,0,0,1,3.6,19,MFU student
North,0,0,2,2.7,5,MFU student
Bangkok,0,0,1,2.91,24,MFU student
North,0,0,1,3.48,26,MFU student
South,0,1,1,2.98,17,MFU student
South,0,0,1,3.43,18,MFU student
North,0,0,1,3.68,15,MFU student
South,0,1,1,3.75,14,MFU student
North,0,0,2,2.73,17,MFU student
Bangkok,0,0,1,3.85,17,MFU student
East,0,0,1,3.73,14,MFU student
Bangkok,0,0,1,3.78,16,MFU student
South,0,0,1,3.37,10,MFU student
South,0,0,1,3.64,30,MFU student
North,0,0,1,3.65,9,MFU student
North,0,0,1,3.38,15,MFU student
North,0,0,1,2.86,14,MFU student
North East,0,0,1,3.13,19,MFU student
North,0,0,1,3.77,16,MFU student
Central,0,1,1,3.01,20,MFU student
North,0,1,1,3.15,15,MFU student
North,0,1,1,3.67,22,MFU student
North,0,0,1,3.53,16,MFU student
North East,0,0,1,2.81,20,MFU student
South,0,0,1,3.65,17,MFU student
North East,0,0,1,3.74,21,MFU student
South,0,0,1,3.52,15,MFU student
North,0,0,1,3.26,12,MFU student
North,0,0,1,3.71,10,MFU student
North,0,0,1,2.45,15,MFU student
North,0,1,1,3.12,26,MFU student
North,0,1,1,3.21,21,MFU student
North East,0,0,1,3.12,13,MFU student
North East,0,0,1,3.15,18,MFU student
South,0,1,1,3.68,22,MFU student
North,0,1,1,2.66,25,MFU student
South,0,0,1,3.04,21,MFU student
South,0,0,1,3.61,7,MFU student
North,0,0,1,2.82,23,MFU student
North,0,0,1,2.56,14,MFU student
North,0,0,2,2.98,24,MFU student
North,0,0,1,3.73,22,MFU student
North East,0,0,1,3.79,19,MFU student
Bangkok,0,0,1,3.32,11,MFU student
North East,0,0,1,2.78,18,MFU student
North East,0,0,1,3.57,19,MFU student
North,0,0,1,3.6,18,MFU student
North,0,0,1,2.67,20,MFU student
North East,0,0,1,3.52,29,MFU student
North East,0,0,1,3.39,26,MFU student
South,0,0,1,3.84,20,MFU student
North East,0,0,1,3.38,15,MFU student
Bangkok,0,1,1,3.8,13,MFU student
Bangkok,0,1,1,2.72,8,MFU student
East,0,0,1,3.7,29,MFU student
Central,0,0,1,2.65,23,MFU student
North,0,0,2,3.39,12,MFU student
North,0,0,1,3.85,14,MFU student
South,0,0,1,2.74,12,MFU student
North,0,0,1,3.34,19,MFU student
Central,0,1,1,3.4,15,MFU student
North,0,0,1,3.47,11,MFU student
East,0,0,1,3.42,22,MFU student
North,0,0,1,3.43,29,MFU student
South,0,1,1,3.32,27,MFU student
Bangkok,0,0,1,3.23,22,MFU student
East,0,0,1,3.85,8,MFU student
Central,0,0,1,3.29,17,MFU student
Bangkok,0,0,1,3.46,9,MFU student
Bangkok,0,0,1,3.35,11,MFU student
Central,0,0,1,3.02,9,MFU student
North East,0,0,1,2.89,12,MFU student
North East,0,0,1,3.23,21,MFU student
North,0,1,1,2.48,13,MFU student
North East,0,0,1,3.1,13,MFU student
North East,0,0,1,3.2,12,MFU student
North East,0,0,1,3.77,22,MFU student
South,0,0,1,2.89,11,MFU student
East,0,1,1,2.94,21,MFU student
North East,0,0,1,3.96,15,MFU student
Bangkok,0,0,1,3.52,17,MFU student
South,0,1,1,3.56,17,MFU student
Bangkok,0,0,1,3.84,16,MFU student
West,0,0,1,3.75,15,MFU student
North,0,1,1,3.34,27,MFU student
North,0,0,1,3.33,22,MFU student
Central,0,0,1,3.42,17,MFU student
Bangkok,0,0,1,3.68,19,MFU student
South,0,0,1,3.34,9,MFU student
North,0,0,1,3.32,6,MFU student
North,0,0,2,3.9,12,MFU student
Bangkok,0,0,1,3.18,17,MFU student
North,0,0,1,3.59,21,MFU student
Central,0,0,1,3.28,16,MFU student
Bangkok,0,0,1,2.88,8,MFU student
South,0,0,1,3.75,24,MFU student
North,0,0,1,3.46,19,MFU student
Bangkok,0,0,1,3.85,19,MFU student
North,0,0,1,3.87,21,MFU student
North,0,0,1,3.41,27,MFU student
North East,0,0,1,3.65,24,MFU student
North East,0,0,1,3.84,15,MFU student
South,0,1,1,2.77,19,MFU student
North,0,0,1,3.7,26,MFU student
North,0,0,1,3.17,14,MFU student
North,0,0,2,3.56,27,MFU student
North,0,0,1,3.67,15,MFU student
North,0,0,1,3.64,18,MFU student
North East,0,1,1,3.47,7,MFU student
North East,0,0,1,3.48,13,MFU student
North East,0,0,1,3.51,11,MFU student
Central,0,0,1,2.74,14,MFU student
South,0,0,1,3.05,19,MFU student
Bangkok,0,0,1,3,11,MFU student
North,0,0,1,3,22,MFU student
North,0,0,1,3.27,22,MFU student
West,0,0,1,2.96,9,MFU student
North,0,0,1,3.63,13,MFU student
South,0,0,1,3.48,28,MFU student
North East,0,0,1,3.42,13,MFU student
North,0,0,1,3.63,13,MFU student
South,0,0,1,3.57,20,MFU student
East,0,1,1,2.95,11,MFU student
North East,0,0,1,2.6,17,MFU student
North,0,0,1,3.3,19,MFU student
North,0,0,1,3.44,26,MFU student
North East,0,0,1,3.78,17,MFU student
South,0,0,1,3.33,23,MFU student
North,0,1,1,3.63,9,MFU student
North,0,0,1,3.71,26,MFU student
South,0,1,1,3.65,25,MFU student
North,0,0,1,3.35,18,MFU student
North,0,0,1,3.8,18,MFU student
North,0,0,1,3.55,18,MFU student
South,0,0,1,3.34,14,MFU student
North,0,0,1,3.25,26,MFU student
North East,0,0,1,2.6,18,MFU student
Central,0,1,1,2.72,20,MFU student
North,0,0,1,3.5,23,MFU student
North,0,1,1,3.43,22,MFU student
West,0,1,1,3.23,13,MFU student
North East,0,0,1,3.73,18,MFU student
North,0,1,1,3.15,14,MFU student
North East,0,0,1,3.74,16,MFU student
Central,0,0,1,3.36,28,MFU student
South,0,0,1,3.86,22,MFU student
North,0,0,1,3.79,18,MFU student
East,0,1,1,3.05,9,MFU student
North East,0,0,1,3.35,24,MFU student
Central,0,1,1,3.34,23,MFU student
South,0,0,1,3.72,15,MFU student
North East,0,0,1,3.61,15,MFU student
Central,0,0,5,3.44,15,MFU student
South,0,0,5,3.48,12,MFU student
North East,0,0,5,3.51,15,MFU student
South,0,0,5,2.86,24,MFU student
North East,0,0,5,3.63,14,MFU student
North,0,0,5,2.92,16,MFU student
North,0,0,5,3.1,28,MFU student
North,0,0,1,3.58,14,MFU student
South,0,0,1,3.46,22,MFU student
East,0,0,1,3.38,12,MFU student
North,0,0,1,3.32,16,MFU student
South,0,0,1,2.54,22,MFU student
East,0,0,1,3.18,16,MFU student
North,0,1,1,3.21,22,MFU student
East,0,0,1,3.79,18,MFU student
Bangkok,0,0,1,3.5,18,MFU student
South,0,0,1,3.36,20,MFU student
Bangkok,0,0,1,3.43,18,MFU student
South,0,0,1,2.57,17,MFU student
North East,0,1,1,3.71,11,MFU student
North,0,0,2,3.73,21,MFU student
Central,0,0,1,3.81,22,MFU student
North,0,1,1,3.24,21,MFU student
South,0,0,1,3.65,29,MFU student
South,0,0,1,2.98,12,MFU student
Central,0,1,1,3.75,20,MFU student
Central,0,0,1,3.96,23,MFU student
South,0,0,1,3.39,23,MFU student
South,0,0,1,3.18,24,MFU student
South,0,1,1,2.83,15,MFU student
Central,0,1,1,3.55,16,MFU student
Central,0,0,1,3.72,15,MFU student
North,0,0,1,3.73,20,MFU student
North,0,0,1,3.61,5,MFU student
Bangkok,0,0,1,3.71,16,MFU student
Bangkok,0,0,1,3.11,21,MFU student
North,0,1,1,3.12,29,MFU student
North,0,0,1,3.03,11,MFU student
Bangkok,0,0,1,2.73,21,MFU student
Bangkok,0,0,1,3.9,17,MFU student
North,0,0,1,3.51,15,MFU student
South,0,0,1,3.47,15,MFU student
East,0,0,1,3.74,20,MFU student
South,0,1,1,2.68,15,MFU student
Bangkok,0,0,1,3.21,11,MFU student
North,0,0,1,3.34,18,MFU student
Central,0,0,1,2.64,21,MFU student
Bangkok,0,0,1,3.01,27,MFU student
North East,0,0,1,3.18,17,MFU student
Central,0,0,1,3.02,10,MFU student
North,0,0,1,3.59,11,MFU student
Bangkok,0,1,1,3.76,15,MFU student
Bangkok,0,1,1,3.75,17,MFU student
South,0,0,1,3.54,16,MFU student
Bangkok,0,0,1,3.66,22,MFU student
Central,0,1,1,2.57,13,MFU student
North,0,0,1,3.52,12,MFU student
South,0,0,1,3.07,15,MFU student
South,0,0,1,3.45,18,MFU student
South,0,1,1,2.77,15,MFU student
Central,0,0,1,2.9,18,MFU student
North East,0,0,1,2.69,5,MFU student
Bangkok,0,0,1,3.13,12,MFU student
North East,0,0,1,3.27,9,MFU student
North East,0,0,1,2.59,22,MFU student
North,0,0,1,3.25,18,MFU student
North,0,0,1,3.24,19,MFU student
North,0,0,1,3.11,16,MFU student
North,0,0,1,3.83,23,MFU student
Bangkok,0,1,1,2.58,17,MFU student
North East,0,0,1,2.61,14,MFU student
Bangkok,0,0,1,3.15,7,MFU student
North East,0,0,1,3.19,17,MFU student
Central,0,0,1,3.28,25,MFU student
North,0,0,1,3.64,21,MFU student
Central,0,0,1,3.96,20,MFU student
South,0,0,1,3.54,16,MFU student
West,0,0,1,3.33,20,MFU student
Central,0,1,1,2.99,15,MFU student
North,0,1,1,3.34,20,MFU student
South,0,0,1,3.85,15,MFU student
East,0,0,1,3.49,16,MFU student
North,0,0,1,2.87,25,MFU student
North,0,0,1,3.12,18,MFU student
South,0,1,1,3.25,23,MFU student
South,0,0,1,3.33,14,MFU student
North East,0,0,1,2.51,9,MFU student
South,0,0,1,3.45,13,MFU student
Bangkok,0,0,1,3.69,11,MFU student
Central,0,1,1,3.34,15,MFU student
North,0,1,1,3.31,23,MFU student
North,0,0,1,3.44,10,MFU student
South,0,0,1,3.11,5,MFU student
North,0,0,1,3.64,29,MFU student
North,0,0,1,3.67,8,MFU student
Bangkok,0,0,1,3.38,12,MFU student
Bangkok,0,0,1,3.04,13,MFU student
East,0,0,1,3.49,8,MFU student
North,0,0,2,3.53,19,MFU student
North,0,0,1,3.54,25,MFU student
North,0,0,1,3.07,13,MFU student
North,0,0,1,3.69,10,MFU student
North,0,0,1,3.37,23,MFU student
Central,0,0,1,3.69,12,MFU student
North East,0,0,1,3.45,23,MFU student
North,0,0,1,3.88,25,MFU student
North,0,0,1,3.62,18,MFU student
South,0,0,1,2.81,21,MFU student
Central,0,0,1,3.04,18,MFU student
Bangkok,0,0,1,2.99,16,MFU student
North,0,0,1,2.98,11,MFU student
South,0,0,1,3.33,27,MFU student
South,0,1,1,3.3,12,MFU student
Bangkok,0,0,1,3.29,14,MFU student
South,0,1,1,3.33,13,MFU student
Central,0,0,1,3.53,18,MFU student
South,0,0,1,3.13,10,MFU student
North,0,1,1,2.78,10,MFU student
North East,0,0,1,2.93,14,MFU student
Central,0,0,1,3.45,15,MFU student
East,0,0,1,3.08,18,MFU student
Bangkok,0,0,1,3.06,14,MFU student
North,0,0,1,3.18,21,MFU student
North East,0,0,1,3.67,24,MFU student
North,0,0,1,2.75,14,MFU student
North,0,0,1,3.09,19,MFU student
North,0,1,1,2.67,15,MFU student
North East,0,0,1,3.25,16,MFU student
East,0,0,1,3.38,16,MFU student
Central,0,0,1,2.98,9,MFU student
South,0,1,1,2.64,18,MFU student
North,0,0,1,3.38,18,MFU student
South,0,1,1,3.56,18,MFU student
North,0,1,1,3.48,17,MFU student
North East,0,0,1,3.78,16,MFU student
North East,0,0,1,3.46,16,MFU student
Bangkok,0,0,1,3.46,13,MFU student
North,0,0,1,3.73,14,MFU student
West,0,0,1,3.48,15,MFU student
Central,0,0,1,3.4,18,MFU student
West,0,1,1,2.63,19,MFU student
South,0,0,1,3.08,12,MFU student
Bangkok,0,0,1,3.43,10,MFU student
Bangkok,0,0,1,3.09,11,MFU student
West,0,0,1,3.19,16,MFU student
Central,0,0,1,3.34,14,MFU student
South,0,0,1,3.14,17,MFU student
North,0,0,1,3.65,17,MFU student
Central,0,0,1,3.66,18,MFU student
North,0,0,1,3.58,13,MFU student
West,0,0,1,3.59,9,MFU student
South,0,1,1,3.37,9,MFU student
North,0,1,2,3.29,19,MFU student
North,0,0,1,3.5,23,MFU student
North East,0,0,1,3.52,13,MFU student
North East,0,0,1,2.58,19,MFU student
North,0,0,2,2.93,21,MFU student
North,0,0,1,3.19,16,MFU student
South,0,0,1,3.62,16,MFU student
South,0,0,1,3.6,10,MFU student
North,0,1,1,3.51,26,MFU student
North,0,1,1,3.49,23,MFU student
North,0,1,1,3.06,10,MFU student
North,0,0,1,3.47,22,MFU student
Bangkok,0,1,1,2.93,16,MFU student
South,0,0,1,3.38,15,MFU student
Bangkok,0,0,1,2.93,21,MFU student
Central,0,0,1,2.91,17,MFU student
North,0,0,1,3.28,16,MFU student
Central,0,0,1,3.39,26,MFU student
South,0,0,1,3.02,21,MFU student
East,0,0,1,3.87,24,MFU student
South,0,0,1,3.92,18,MFU student
Central,0,0,1,2.93,17,MFU student
West,0,0,1,2.98,18,MFU student
North,0,0,2,2.87,15,MFU student
North,0,0,5,4,9,MFU student
East,0,0,1,3.77,15,MFU student
North,0,0,1,3.5,14,MFU student
Bangkok,0,0,1,2.97,31,MFU student
South,0,0,1,3.26,12,MFU student
West,0,1,1,3.36,16,MFU student
Bangkok,0,0,1,3.66,15,MFU student
East,0,0,1,3.65,18,MFU student
South,0,0,1,3.23,18,MFU student
North,0,1,2,3.86,7,MFU student
North,0,0,2,3.04,12,MFU student
South,0,0,1,3.52,29,MFU student
South,0,0,1,3.33,22,MFU student
South,0,0,1,3.67,9,MFU student
North,0,0,1,3.09,20,MFU student
East,0,0,1,3.7,24,MFU student
Bangkok,0,0,1,3.5,13,MFU student
South,0,0,1,3.46,11,MFU student
North,0,1,1,3.59,23,MFU student
Bangkok,0,0,1,3.05,21,MFU student
East,0,0,1,3.7,11,MFU student
South,0,0,1,3.26,10,MFU student
Bangkok,0,0,1,3.250711643,14,MFU student
East,0,0,1,3.1,11,MFU student
North,0,0,1,3.69,15,MFU student
East,0,1,1,3.44,15,MFU student
North,0,0,5,2.78,16,MFU student
South,0,0,5,3.45,10,MFU student
North,0,0,5,3.13,13,MFU student
South,0,0,5,3.19,7,MFU student
South,0,0,5,2.8,19,MFU student
South,0,0,5,2.41,9,MFU student
North East,0,0,5,3.02,21,MFU student
North,0,0,5,3.5,5,MFU student
North,0,0,5,3.32,12,MFU student
North,0,0,5,3.93,17,MFU student
West,0,0,5,3.57,25,MFU student
Bangkok,0,0,2,3.31,26,MFU student
North,0,0,2,3.32,19,MFU student
North,0,0,2,3.9,15,MFU student
North,0,0,2,2.81,17,MFU student
North,0,0,2,3.68,16,MFU student
North,0,1,2,3.26,21,MFU student
North,0,0,2,3.63,21,MFU student
North,0,0,2,2.81,21,MFU student
North,0,1,2,3.66,11,MFU student
North,0,0,2,3.6,7,MFU student
Central,0,0,1,3.67,19,MFU student
North,0,0,1,3.08,25,MFU student
Bangkok,0,1,1,3.06,8,MFU student
Central,0,0,1,3.43,7,MFU student
Bangkok,0,0,1,3.74,26,MFU student
Central,0,1,1,3.03,16,MFU student
Central,0,0,1,3.59,11,MFU student
North East,0,0,1,3.65,17,MFU student
North,0,1,2,3.64,29,MFU student
North,0,1,2,3.31,14,MFU student
South,0,0,1,2.96,14,MFU student
North,0,0,2,3.25,7,MFU student
North,0,0,1,3.83,18,MFU student
North,0,1,1,3.05,21,MFU student
North,0,1,1,3.29,25,MFU student
North,0,0,1,3.03,15,MFU student
South,0,0,1,3.27,21,MFU student
Bangkok,0,0,1,3.89,15,MFU student
North,0,1,5,2.73,22,MFU student
South,0,0,5,3.45,13,MFU student
Central,0,0,5,3.53,14,MFU student
North East,0,1,5,3.29,13,MFU student
Central,0,0,1,3.16,12,Not MFU student
West,0,0,1,3.31,9,Not MFU student
Bangkok,0,0,1,3.76,14,Not MFU student
North,0,1,1,2.94,25,Not MFU student
North,0,1,1,3.58,24,Not MFU student
North East,0,1,1,2.75,17,Not MFU student
Central,0,0,1,2.23,15,Not MFU student
East,0,0,1,2.3,14,Not MFU student
North,0,1,1,2.79,26,Not MFU student
East,0,0,1,3.67,22,Not MFU student
South,0,0,1,2.98,12,Not MFU student
Central,0,1,1,2.39,14,Not MFU student
South,0,1,1,2.3,13,Not MFU student
North East,0,1,1,3,28,Not MFU student
Central,0,0,1,2.85,13,Not MFU student
South,0,0,1,2.49,14,Not MFU student
North,0,0,1,2.68,10,Not MFU student
Bangkok,0,0,1,3.11,19,Not MFU student
North,0,0,1,3.42,10,Not MFU student
East,0,0,1,2.94,20,Not MFU student
South,0,1,1,2.23,18,Not MFU student
North,0,1,1,4,17,Not MFU student
North,0,0,1,2.84,12,Not MFU student
North,0,0,1,2.61,10,Not MFU student
North East,0,1,1,3.02,13,Not MFU student
North,0,0,1,2.89,12,Not MFU student
North,0,0,1,2.39,19,Not MFU student
East,0,0,1,3.59,14,Not MFU student
North,0,1,1,2.85,15,Not MFU student
North East,0,0,1,2.73,24,Not MFU student
Bangkok,0,0,1,3.4,12,Not MFU student
Central,0,0,1,3.05,11,Not MFU student
Bangkok,0,0,1,3.19,15,Not MFU student
North,0,0,1,3.26,27,Not MFU student
South,0,1,1,2.26,8,Not MFU student
East,0,0,1,3.48,15,Not MFU student
Central,0,0,1,2.95,15,Not MFU student
South,0,1,1,2.68,7,Not MFU student
South,0,0,1,3.11,5,Not MFU student
Central,0,0,1,2.63,7,Not MFU student
East,0,0,1,2.48,23,Not MFU student
North,0,1,1,2.12,14,Not MFU student
Central,0,0,1,3.03,18,Not MFU student
North,0,1,1,3.24,15,Not MFU student
North,0,0,1,2.59,25,Not MFU student
Central,0,0,1,2.69,9,Not MFU student
North,0,0,1,3.24,21,Not MFU student
East,0,1,1,2.11,11,Not MFU student
North,0,0,1,2.89,20,Not MFU student
North,0,1,1,2.71,19,Not MFU student
Bangkok,0,1,1,2.63,9,Not MFU student
South,0,1,1,2.18,12,Not MFU student
North,0,0,1,3.73,15,Not MFU student
Central,0,1,1,2.23,10,Not MFU student
East,0,0,1,2.73,11,Not MFU student
North,0,1,1,3,21,Not MFU student
Central,0,1,1,2.39,17,Not MFU student
South,0,1,1,2.26,13,Not MFU student
South,0,0,1,2.55,7,Not MFU student
Bangkok,0,0,1,2.4,10,Not MFU student
South,0,1,1,2.85,11,Not MFU student
South,0,1,1,2.6,11,Not MFU student
Bangkok,0,0,1,3.84,17,Not MFU student
Bangkok,0,0,1,2.46,13,Not MFU student
Central,0,1,1,3.46,6,Not MFU student
North,0,0,1,2.84,10,Not MFU student
South,0,0,1,2.87,22,Not MFU student
Central,0,1,1,2.37,22,Not MFU student
North East,0,1,1,2.83,18,Not MFU student
Central,0,1,1,3.250711643,11,Not MFU student
East,0,0,1,2.78,15,Not MFU student
West,0,0,1,2.85,15,Not MFU student
North,0,0,1,2.41,23,Not MFU student
North,0,0,1,3.03,16,Not MFU student
North,0,0,1,3.34,21,Not MFU student
South,0,0,1,2.89,9,Not MFU student
North,0,1,1,2.46,11,Not MFU student
East,0,0,1,2.24,15,Not MFU student
North East,0,1,1,2.56,17,Not MFU student
West,0,1,1,2.75,7,Not MFU student
South,0,0,1,2.68,22,Not MFU student
South,0,1,1,2.22,10,Not MFU student
Central,0,0,1,2.93,15,Not MFU student
East,0,1,1,2.99,10,Not MFU student
East,0,1,1,2.19,9,Not MFU student
Central,0,0,1,2.79,10,Not MFU student
East,0,0,1,2.8,18,Not MFU student
Central,0,1,1,2.75,14,Not MFU student
North East,0,0,1,3.25,11,Not MFU student
North East,0,0,1,3.11,7,Not MFU student
South,0,0,1,3.65,14,Not MFU student
North East,0,0,1,3.27,15,Not MFU student
South,0,1,1,2.75,10,Not MFU student
North,0,1,1,2.7,10,Not MFU student
East,0,1,1,2.94,7,Not MFU student
Bangkok,0,1,1,3.28,13,Not MFU student
North,0,1,1,3.09,25,Not MFU student
West,0,0,1,2.75,14,Not MFU student
North,0,0,1,3.39,5,Not MFU student
Central,0,0,1,2.68,18,Not MFU student
South,0,0,1,3.13,17,Not MFU student
Bangkok,0,1,1,2.56,13,Not MFU student
North East,0,1,1,2.8,31,Not MFU student
Bangkok,0,0,1,2.81,8,Not MFU student
North,0,1,1,2.72,14,Not MFU student
East,0,1,1,2.11,16,Not MFU student
North East,0,1,1,2.59,13,Not MFU student
North,0,1,1,3.21,14,Not MFU student
Central,0,1,1,3,25,Not MFU student
North East,0,0,1,2.6,11,Not MFU student
South,0,1,1,3.17,15,Not MFU student
South,0,0,1,2.99,22,Not MFU student
South,0,1,1,2.71,16,Not MFU student
East,0,1,1,2.25,15,Not MFU student
Central,0,0,1,3.38,11,Not MFU student
North,0,1,1,3,12,Not MFU student
North,0,1,1,3.64,22,Not MFU student
North,0,1,1,2.89,20,Not MFU student
South,0,1,1,2.53,15,Not MFU student
South,0,1,1,2.71,25,Not MFU student
North East,0,1,1,2.42,11,Not MFU student
North,0,0,1,2.82,16,Not MFU student
Bangkok,0,1,1,2.64,13,Not MFU student
West,0,1,1,2.84,9,Not MFU student
North,0,0,1,3,22,Not MFU student
West,0,0,1,2.83,16,Not MFU student
Central,0,0,1,3.07,12,Not MFU student
North East,0,0,1,2.68,10,Not MFU student
Bangkok,0,1,1,2.34,18,Not MFU student
Bangkok,0,0,1,2.85,11,Not MFU student
North,0,0,1,2.8,9,Not MFU student
Central,0,1,1,2.6,11,Not MFU student
Bangkok,0,0,1,2.56,9,Not MFU student
North East,0,1,1,3.03,6,Not MFU student
North East,0,0,1,2.58,7,Not MFU student
Bangkok,0,0,1,3.250711643,7,Not MFU student
Bangkok,0,1,1,2.27,13,Not MFU student
North,0,1,1,2.6,16,Not MFU student
Bangkok,0,0,1,3.5,8,Not MFU student
Bangkok,0,1,1,3.05,8,Not MFU student
Bangkok,0,1,1,2.49,15,Not MFU student
Bangkok,0,0,1,2.77,12,Not MFU student
North,0,1,1,2.58,15,Not MFU student
Bangkok,0,1,1,2.74,5,Not MFU student
North,0,0,1,3.12,19,Not MFU student
Central,0,0,1,2.09,11,Not MFU student
North,0,0,1,2.95,16,Not MFU student
Central,0,1,1,2.85,9,Not MFU student
North,0,0,1,2.91,22,Not MFU student
South,0,0,1,3.59,13,Not MFU student
Bangkok,0,0,1,3.73,15,Not MFU student
North,0,0,1,3.44,22,Not MFU student
Central,0,0,1,3.48,25,Not MFU student
North East,0,0,1,3.02,19,Not MFU student
Bangkok,0,0,1,3.38,17,Not MFU student
North,0,0,1,3.84,11,Not MFU student
North,0,0,1,3.34,17,Not MFU student
East,0,1,1,3.51,12,Not MFU student
Central,0,0,1,3.63,24,Not MFU student
South,0,0,1,3.54,26,Not MFU student
North East,0,0,1,2.68,13,Not MFU student
Bangkok,0,0,1,3.65,21,Not MFU student
Bangkok,0,1,1,3.33,23,Not MFU student
North,0,1,1,3.77,9,Not MFU student
Central,0,0,1,3.51,20,Not MFU student
North,0,0,1,3.17,21,Not MFU student
East,0,0,1,3.5,21,Not MFU student
East,0,0,1,3.62,26,Not MFU student
North,0,0,1,3.35,15,Not MFU student
North East,0,0,1,3.52,17,Not MFU student
Central,0,0,1,3.81,13,Not MFU student
North,0,1,1,2.74,22,Not MFU student
North,0,0,1,3.41,23,Not MFU student
Bangkok,0,0,1,3.33,15,Not MFU student
North,0,0,1,3.68,18,Not MFU student
East,0,1,1,3.72,11,Not MFU student
South,0,1,1,3.12,10,Not MFU student
North East,0,1,1,3.06,10,Not MFU student
South,0,1,1,3.31,9,Not MFU student
North,0,0,1,3.42,15,Not MFU student
Bangkok,0,0,1,3.2,15,Not MFU student
South,0,0,1,2.67,9,Not MFU student
North,0,0,1,3.74,24,Not MFU student
North,0,0,1,3.57,14,Not MFU student
Central,0,0,1,3.74,13,Not MFU student
North,0,0,1,3.38,14,Not MFU student
North,0,0,1,3.12,9,Not MFU student
North,0,0,1,3.56,23,Not MFU student
Central,0,0,1,3.95,11,Not MFU student
North,0,0,1,3.14,20,Not MFU student
Central,0,0,1,3.62,8,Not MFU student
South,0,0,1,2.83,11,Not MFU student
Central,0,0,1,3.55,17,Not MFU student
Bangkok,0,0,1,3.29,15,Not MFU student
North East,0,0,1,3.34,14,Not MFU student
Bangkok,0,0,1,3.43,11,Not MFU student
South,0,1,1,3.57,17,Not MFU student
South,0,1,1,2.83,23,Not MFU student
South,0,0,1,3.94,13,Not MFU student
Bangkok,0,0,1,3.17,13,Not MFU student
East,0,0,1,3.61,8,Not MFU student
North,0,1,1,3.84,10,Not MFU student
West,0,0,1,3.62,19,Not MFU student
East,0,0,1,3.87,11,Not MFU student
Central,0,0,1,3.03,16,Not MFU student
Central,0,0,1,3.33,14,Not MFU student
South,0,0,1,3.57,13,Not MFU student
West,0,0,1,3.82,19,Not MFU student
North,0,0,1,3.67,27,Not MFU student
West,0,1,1,3.41,21,Not MFU student
North,0,0,1,3.45,17,Not MFU student
